Date,Temp
1900-01-31,25.78
1900-02-28,26.16
1900-03-31,23.868
1900-04-30,23.467
1900-05-31,22.667
1900-06-30,22.88
1900-07-31,21.845
1900-08-31,21.294
1900-09-30,21.772
1900-10-31,22.657
1900-11-30,24.548
1900-12-31,24.898000000000003
1901-01-31,25.786
1901-02-28,25.418000000000006
1901-03-31,24.291999999999998
1901-04-30,23.289
1901-05-31,22.074
1901-06-30,22.756999999999998
1901-07-31,21.69
1901-08-31,21.09
1901-09-30,21.245
1901-10-31,21.605999999999998
1901-11-30,22.707
1901-12-31,25.011
1902-01-31,26.618000000000002
1902-02-28,25.631
1902-03-31,24.910999999999998
1902-04-30,24.195
1902-05-31,23.601
1902-06-30,23.641
1902-07-31,21.456
1902-08-31,21.141
1902-09-30,21.492
1902-10-31,24.817
1902-11-30,25.417
1902-12-31,24.502
1903-01-31,26.993000000000002
1903-02-28,26.948
1903-03-31,24.029
1903-04-30,22.764
1903-05-31,23.755
1903-06-30,21.814
1903-07-31,22.047
1903-08-31,21.533
1903-09-30,21.87
1903-10-31,23.345
1903-11-30,25.206
1903-12-31,25.308000000000003
1904-01-31,26.26100000000001
1904-02-29,25.878
1904-03-31,23.701
1904-04-30,22.248
1904-05-31,21.716
1904-06-30,21.796
1904-07-31,21.605999999999998
1904-08-31,21.759
1904-09-30,21.567
1904-10-31,22.623
1904-11-30,23.589
1904-12-31,24.816
1905-01-31,26.678
1905-02-28,24.721999999999998
1905-03-31,24.487
1905-04-30,24.596
1905-05-31,23.337
1905-06-30,22.412
1905-07-31,22.192
1905-08-31,21.807
1905-09-30,23.037
1905-10-31,22.828000000000007
1905-11-30,25.11
1905-12-31,24.235
1906-01-31,25.177000000000003
1906-02-28,25.111
1906-03-31,24.499
1906-04-30,24.625
1906-05-31,24.062
1906-06-30,23.32
1906-07-31,22.576999999999998
1906-08-31,21.622
1906-09-30,22.435
1906-10-31,22.972
1906-11-30,24.269
1906-12-31,24.446
1907-01-31,25.773000000000003
1907-02-28,25.835
1907-03-31,24.445999999999998
1907-04-30,22.475
1907-05-31,23.668000000000006
1907-06-30,21.599
1907-07-31,20.811
1907-08-31,22.502
1907-09-30,21.338
1907-10-31,22.608
1907-11-30,24.804
1907-12-31,25.156
1908-01-31,25.635
1908-02-29,24.910999999999998
1908-03-31,24.631
1908-04-30,23.633000000000006
1908-05-31,23.483
1908-06-30,22.942
1908-07-31,21.529
1908-08-31,21.596
1908-09-30,21.578000000000007
1908-10-31,23.094
1908-11-30,24.707
1908-12-31,25.506
1909-01-31,27.193
1909-02-28,25.688
1909-03-31,23.944000000000006
1909-04-30,22.561999999999998
1909-05-31,22.565
1909-06-30,22.796
1909-07-31,21.909
1909-08-31,21.356
1909-09-30,20.848000000000006
1909-10-31,22.408
1909-11-30,23.231
1909-12-31,25.925
1910-01-31,25.952
1910-02-28,26.006999999999998
1910-03-31,25.263
1910-04-30,22.480999999999998
1910-05-31,23.688
1910-06-30,21.578000000000007
1910-07-31,22.458
1910-08-31,21.408
1910-09-30,20.057
1910-10-31,21.762
1910-11-30,23.144
1910-12-31,25.883000000000006
1911-01-31,26.027
1911-02-28,24.692
1911-03-31,24.421
1911-04-30,23.622
1911-05-31,21.518
1911-06-30,21.011
1911-07-31,21.363000000000003
1911-08-31,21.242
1911-09-30,21.175
1911-10-31,24.418000000000006
1911-11-30,24.897
1911-12-31,25.214
1912-01-31,27.025
1912-02-29,25.589
1912-03-31,24.506999999999998
1912-04-30,24.866
1912-05-31,23.272
1912-06-30,21.359
1912-07-31,22.091
1912-08-31,19.641
1912-09-30,20.51
1912-10-31,23.873
1912-11-30,23.826
1912-12-31,24.846
1913-01-31,26.31600000000001
1913-02-28,26.406
1913-03-31,25.105
1913-04-30,23.965999999999998
1913-05-31,22.415
1913-06-30,23.371
1913-07-31,22.269
1913-08-31,22.218000000000004
1913-09-30,21.791
1913-10-31,22.713
1913-11-30,23.222
1913-12-31,26.028
1914-01-31,26.138
1914-02-28,26.734
1914-03-31,24.474
1914-04-30,22.863000000000003
1914-05-31,24.85
1914-06-30,24.096
1914-07-31,22.747
1914-08-31,23.115
1914-09-30,22.464
1914-10-31,24.093000000000004
1914-11-30,23.816
1914-12-31,26.24
1915-01-31,26.748
1915-02-28,25.85
1915-03-31,26.057
1915-04-30,26.123
1915-05-31,23.334
1915-06-30,22.589
1915-07-31,22.853
1915-08-31,22.167
1915-09-30,21.369
1915-10-31,21.969
1915-11-30,23.465
1915-12-31,25.014
1916-01-31,25.295
1916-02-29,24.944000000000006
1916-03-31,24.266
1916-04-30,24.238000000000003
1916-05-31,24.124
1916-06-30,22.48
1916-07-31,22.03
1916-08-31,22.693
1916-09-30,20.906
1916-10-31,22.78
1916-11-30,23.441
1916-12-31,25.19
1917-01-31,25.812
1917-02-28,25.105999999999998
1917-03-31,23.612
1917-04-30,22.006999999999998
1917-05-31,21.227
1917-06-30,21.268
1917-07-31,20.712
1917-08-31,21.167
1917-09-30,20.776
1917-10-31,21.219
1917-11-30,23.288
1917-12-31,25.377
1918-01-31,25.826
1918-02-28,25.679
1918-03-31,24.564
1918-04-30,24.214
1918-05-31,22.852
1918-06-30,21.317
1918-07-31,20.722
1918-08-31,21.135
1918-09-30,21.726
1918-10-31,22.411
1918-11-30,23.289
1918-12-31,24.469
1919-01-31,25.156
1919-02-28,25.075
1919-03-31,24.922
1919-04-30,24.654
1919-05-31,23.626
1919-06-30,22.927
1919-07-31,21.392
1919-08-31,22.094
1919-09-30,22.26
1919-10-31,23.937
1919-11-30,24.296
1919-12-31,25.895
1920-01-31,26.463
1920-02-29,25.949
1920-03-31,25.088
1920-04-30,23.518
1920-05-31,23.205
1920-06-30,23.413
1920-07-31,20.456
1920-08-31,20.928
1920-09-30,21.84
1920-10-31,23.175
1920-11-30,23.807
1920-12-31,25.54
1921-01-31,26.826
1921-02-28,26.328000000000007
1921-03-31,24.268
1921-04-30,23.778
1921-05-31,22.453000000000007
1921-06-30,21.282
1921-07-31,23.103
1921-08-31,21.254
1921-09-30,20.853
1921-10-31,21.554
1921-11-30,23.693
1921-12-31,25.829
1922-01-31,26.219
1922-02-28,26.404
1922-03-31,24.819000000000006
1922-04-30,24.18
1922-05-31,23.403
1922-06-30,22.465
1922-07-31,23.05
1922-08-31,22.04000000000001
1922-09-30,21.388
1922-10-31,22.865
1922-11-30,24.313
1922-12-31,25.677
1923-01-31,26.213
1923-02-28,26.55
1923-03-31,25.864
1923-04-30,24.168000000000006
1923-05-31,23.255
1923-06-30,21.194000000000006
1923-07-31,22.164
1923-08-31,21.519000000000002
1923-09-30,21.384
1923-10-31,22.811
1923-11-30,25.36
1923-12-31,24.659
1924-01-31,25.51100000000001
1924-02-29,26.456999999999997
1924-03-31,25.254
1924-04-30,24.282
1924-05-31,23.155
1924-06-30,22.108
1924-07-31,21.145
1924-08-31,21.04
1924-09-30,19.912
1924-10-31,21.97
1924-11-30,23.496
1924-12-31,25.143
1925-01-31,26.209000000000003
1925-02-28,25.523000000000003
1925-03-31,25.423
1925-04-30,24.385
1925-05-31,21.656
1925-06-30,20.619
1925-07-31,23.179
1925-08-31,21.857
1925-09-30,20.246
1925-10-31,22.791999999999998
1925-11-30,24.788
1925-12-31,25.511
1926-01-31,24.946
1926-02-28,26.224
1926-03-31,24.539
1926-04-30,23.363000000000003
1926-05-31,23.518
1926-06-30,22.593000000000004
1926-07-31,22.409
1926-08-31,22.804000000000002
1926-09-30,22.179
1926-10-31,23.379
1926-11-30,24.464
1926-12-31,25.362
1927-01-31,26.214000000000002
1927-02-28,26.625
1927-03-31,25.250999999999998
1927-04-30,23.641
1927-05-31,22.827
1927-06-30,21.679
1927-07-31,21.839
1927-08-31,21.654
1927-09-30,21.712
1927-10-31,23.305
1927-11-30,23.883000000000006
1927-12-31,24.933000000000003
1928-01-31,26.76400000000001
1928-02-29,27.230999999999998
1928-03-31,26.247
1928-04-30,24.537
1928-05-31,24.445
1928-06-30,22.741
1928-07-31,21.869
1928-08-31,22.028000000000002
1928-09-30,21.324
1928-10-31,22.697
1928-11-30,24.241
1928-12-31,26.12
1929-01-31,26.554000000000002
1929-02-28,26.185
1929-03-31,23.38
1929-04-30,22.756999999999998
1929-05-31,23.25
1929-06-30,21.984
1929-07-31,22.429
1929-08-31,22.395
1929-09-30,22.838
1929-10-31,21.916
1929-11-30,25.808000000000003
1929-12-31,26.656
1930-01-31,26.616000000000003
1930-02-28,26.745
1930-03-31,24.401
1930-04-30,24.044
1930-05-31,24.942
1930-06-30,23.012
1930-07-31,22.534
1930-08-31,21.239
1930-09-30,22.157
1930-10-31,22.091
1930-11-30,24.063
1930-12-31,25.875
1931-01-31,24.98200000000001
1931-02-28,26.320999999999998
1931-03-31,25.151999999999997
1931-04-30,23.791999999999998
1931-05-31,23.221
1931-06-30,22.804
1931-07-31,21.224
1931-08-31,20.994
1931-09-30,21.558000000000003
1931-10-31,22.025
1931-11-30,24.535
1931-12-31,24.768
1932-01-31,26.935
1932-02-29,26.829
1932-03-31,25.979
1932-04-30,23.851
1932-05-31,23.189
1932-06-30,23.761
1932-07-31,21.568
1932-08-31,22.754
1932-09-30,22.887
1932-10-31,23.24
1932-11-30,24.954
1932-12-31,24.924
1933-01-31,26.581000000000003
1933-02-28,25.59
1933-03-31,23.421
1933-04-30,23.301
1933-05-31,22.153
1933-06-30,21.576
1933-07-31,21.636
1933-08-31,21.394000000000002
1933-09-30,21.381
1933-10-31,21.344
1933-11-30,22.855
1933-12-31,25.617
1934-01-31,26.563000000000002
1934-02-28,26.480999999999998
1934-03-31,25.166999999999998
1934-04-30,24.369
1934-05-31,23.997
1934-06-30,21.817
1934-07-31,21.846
1934-08-31,21.823
1934-09-30,21.059
1934-10-31,22.832
1934-11-30,23.932
1934-12-31,24.999
1935-01-31,26.67100000000001
1935-02-28,26.97
1935-03-31,24.064
1935-04-30,22.712
1935-05-31,23.918000000000006
1935-06-30,23.793000000000006
1935-07-31,21.99
1935-08-31,21.8
1935-09-30,22.203000000000007
1935-10-31,22.795
1935-11-30,24.786
1935-12-31,26.149
1936-01-31,25.696
1936-02-29,25.894
1936-03-31,25.273000000000003
1936-04-30,25.941
1936-05-31,24.818
1936-06-30,23.199
1936-07-31,21.564
1936-08-31,21.115
1936-09-30,21.723000000000006
1936-10-31,22.777
1936-11-30,24.087
1936-12-31,24.379
1937-01-31,26.792
1937-02-28,26.524
1937-03-31,24.820999999999998
1937-04-30,23.127
1937-05-31,23.505
1937-06-30,23.410999999999998
1937-07-31,23.311
1937-08-31,21.285
1937-09-30,21.455
1937-10-31,22.012
1937-11-30,22.739
1937-12-31,26.882
1938-01-31,26.345
1938-02-28,27.096
1938-03-31,24.977
1938-04-30,23.738000000000003
1938-05-31,23.086
1938-06-30,22.276999999999997
1938-07-31,21.726
1938-08-31,21.932
1938-09-30,22.011
1938-10-31,23.143
1938-11-30,23.816
1938-12-31,25.784
1939-01-31,26.868000000000002
1939-02-28,27.127
1939-03-31,24.907
1939-04-30,24.811999999999998
1939-05-31,23.738000000000003
1939-06-30,21.878
1939-07-31,22.7
1939-08-31,21.103
1939-09-30,21.568
1939-10-31,23.007
1939-11-30,23.914
1939-12-31,26.026
1940-01-31,25.728
1940-02-29,26.471
1940-03-31,26.057
1940-04-30,25.015
1940-05-31,23.834
1940-06-30,23.511
1940-07-31,22.287
1940-08-31,21.214000000000002
1940-09-30,21.674
1940-10-31,22.329
1940-11-30,25.953000000000007
1940-12-31,26.356
1941-01-31,27.437
1941-02-28,26.105999999999998
1941-03-31,26.872
1941-04-30,25.029
1941-05-31,22.913
1941-06-30,22.355
1941-07-31,23.568
1941-08-31,20.389
1941-09-30,21.599
1941-10-31,23.565
1941-11-30,24.436
1941-12-31,26.275
1942-01-31,27.471
1942-02-28,27.092
1942-03-31,25.003
1942-04-30,24.057
1942-05-31,23.425
1942-06-30,21.058000000000003
1942-07-31,22.06
1942-08-31,21.461
1942-09-30,22.082
1942-10-31,22.957
1942-11-30,23.354
1942-12-31,24.974
1943-01-31,26.38900000000001
1943-02-28,26.779
1943-03-31,23.737
1943-04-30,24.35
1943-05-31,24.157
1943-06-30,22.593000000000004
1943-07-31,20.614
1943-08-31,20.985
1943-09-30,21.652
1943-10-31,22.967
1943-11-30,23.277
1943-12-31,26.11
1944-01-31,26.263
1944-02-29,27.14
1944-03-31,24.168000000000006
1944-04-30,23.185
1944-05-31,23.569000000000006
1944-06-30,21.699
1944-07-31,22.287
1944-08-31,22.143
1944-09-30,23.328000000000007
1944-10-31,22.541
1944-11-30,23.743
1944-12-31,25.333
1945-01-31,26.97300000000001
1945-02-28,26.156
1945-03-31,24.793000000000006
1945-04-30,22.71
1945-05-31,22.438
1945-06-30,22.506
1945-07-31,23.355999999999998
1945-08-31,20.968000000000004
1945-09-30,21.874
1945-10-31,22.92
1945-11-30,23.275
1945-12-31,25.958
1946-01-31,28.044
1946-02-28,26.189
1946-03-31,24.309
1946-04-30,24.945999999999998
1946-05-31,23.399
1946-06-30,22.833
1946-07-31,23.117
1946-08-31,22.929000000000002
1946-09-30,22.611
1946-10-31,23.561
1946-11-30,24.236
1946-12-31,26.48
1947-01-31,27.177000000000003
1947-02-28,25.578000000000007
1947-03-31,24.664
1947-04-30,24.861
1947-05-31,24.237
1947-06-30,22.092
1947-07-31,21.569000000000006
1947-08-31,21.509
1947-09-30,20.359
1947-10-31,21.576999999999998
1947-11-30,23.398000000000003
1947-12-31,26.992
1948-01-31,26.826
1948-02-29,25.54
1948-03-31,24.904
1948-04-30,24.015
1948-05-31,23.52
1948-06-30,23.994
1948-07-31,21.724
1948-08-31,21.932
1948-09-30,21.629
1948-10-31,23.055
1948-11-30,24.079
1948-12-31,25.609
1949-01-31,25.748
1949-02-28,27.52
1949-03-31,24.565
1949-04-30,23.305999999999997
1949-05-31,24.133000000000006
1949-06-30,22.186999999999998
1949-07-31,21.908
1949-08-31,21.163
1949-09-30,20.8
1949-10-31,22.032
1949-11-30,23.799
1949-12-31,25.467
1950-01-31,26.409000000000002
1950-02-28,26.309
1950-03-31,25.245
1950-04-30,24.778
1950-05-31,23.792
1950-06-30,22.653
1950-07-31,23.203000000000007
1950-08-31,22.364
1950-09-30,21.776
1950-10-31,22.203000000000007
1950-11-30,24.194000000000006
1950-12-31,25.556
1951-01-31,26.180000000000003
1951-02-28,25.805
1951-03-31,23.389
1951-04-30,23.774
1951-05-31,22.732
1951-06-30,21.523000000000003
1951-07-31,20.843000000000004
1951-08-31,21.565
1951-09-30,21.912
1951-10-31,22.943
1951-11-30,22.826999999999998
1951-12-31,25.673000000000002
1952-01-31,25.989
1952-02-29,26.337
1952-03-31,24.121
1952-04-30,23.843000000000004
1952-05-31,23.579
1952-06-30,22.763
1952-07-31,23.021
1952-08-31,21.623
1952-09-30,22.945
1952-10-31,23.115
1952-11-30,24.604
1952-12-31,26.665
1953-01-31,26.117
1953-02-28,26.945
1953-03-31,25.096
1953-04-30,24.182
1953-05-31,23.484
1953-06-30,21.624
1953-07-31,22.164
1953-08-31,22.674
1953-09-30,22.528
1953-10-31,22.73
1953-11-30,23.912
1953-12-31,26.814
1954-01-31,27.211
1954-02-28,26.791999999999998
1954-03-31,24.539
1954-04-30,24.014
1954-05-31,24.228
1954-06-30,23.239
1954-07-31,22.459
1954-08-31,22.591
1954-09-30,21.677
1954-10-31,22.948
1954-11-30,24.164
1954-12-31,25.473000000000006
1955-01-31,26.797
1955-02-28,26.336
1955-03-31,24.53
1955-04-30,23.692
1955-05-31,23.285
1955-06-30,22.925
1955-07-31,21.958
1955-08-31,21.905
1955-09-30,20.603
1955-10-31,21.706
1955-11-30,24.201999999999998
1955-12-31,27.443
1956-01-31,26.44
1956-02-29,26.024
1956-03-31,24.75
